,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
21,tensor(0.00060004),tensor(0.00041637),tensor(-0.00091728),tensor(-0.00135444),tensor(0.00130768),tensor(0.00268239),tensor(0.00047354),tensor(0.00098463),tensor(0.00089894),tensor(0.00103499),tensor(0.00273654),tensor(0.00241078),tensor(0.00265551),tensor(0.00200414),tensor(-0.00184448),tensor(-0.00279808),tensor(-0.00933535)
22,tensor(0.00050204),tensor(0.00047539),tensor(0.00194430),tensor(0.00051623),tensor(0.00046390),tensor(0.00308033),tensor(0.00010589),tensor(0.00040808),tensor(0.00022645),tensor(-0.00127030),tensor(0.00068054),tensor(0.00268569),tensor(0.00286628),tensor(-0.00208418),tensor(0.00110994),tensor(0.00168087),tensor(0.00931453)
23,tensor(0.00084434),tensor(0.00105225),tensor(0.00222822),tensor(-0.00092887),tensor(5.74600635e-05),tensor(-0.00076376),tensor(0.00029431),tensor(0.00077839),tensor(0.00114524),tensor(0.00172462),tensor(-0.00217880),tensor(0.00214615),tensor(0.00188010),tensor(0.00224047),tensor(-0.00134635),tensor(-0.00225754),tensor(-0.00465916)
24,tensor(0.00043389),tensor(0.00227115),tensor(7.10084714e-05),tensor(0.00084925),tensor(0.00450963),tensor(-0.00031651),tensor(-0.00064878),tensor(-0.00084884),tensor(-0.00035924),tensor(0.00079042),tensor(0.00156767),tensor(0.00038329),tensor(0.00091257),tensor(0.00173509),tensor(0.00054206),tensor(0.00090441),tensor(0.00624498)
25,tensor(0.00119974),tensor(0.00338408),tensor(-0.00059576),tensor(0.00031609),tensor(0.00488507),tensor(0.00732400),tensor(-0.00038388),tensor(-3.73364273e-05),tensor(0.00015241),tensor(-0.00109997),tensor(0.00040405),tensor(-0.00247746),tensor(-0.00175194),tensor(-0.00200869),tensor(-0.00055732),tensor(-0.00033311),tensor(-0.01097356)
26,tensor(-0.00099144),tensor(-0.00226931),tensor(0.00128661),tensor(-0.00029128),tensor(-0.00352074),tensor(-0.00223039),tensor(0.00040615),tensor(0.00063299),tensor(0.00098581),tensor(0.00100840),tensor(-0.00224048),tensor(0.00125672),tensor(0.00096639),tensor(-0.00089267),tensor(0.00150411),tensor(0.00112337),tensor(-0.00111231)
27,tensor(0.00140206),tensor(0.00402871),tensor(0.00157104),tensor(0.00116730),tensor(0.00559398),tensor(0.00646462),tensor(-0.00111642),tensor(-0.00201911),tensor(-0.00167826),tensor(-0.00140528),tensor(0.00176567),tensor(-0.00023994),tensor(-0.00133700),tensor(0.00017178),tensor(-0.00044623),tensor(0.00088330),tensor(0.00553520)
28,tensor(-0.00073820),tensor(-0.00118677),tensor(0.00032889),tensor(-0.00045386),tensor(0.00280313),tensor(-0.00106916),tensor(0.00085234),tensor(0.00159187),tensor(0.00130338),tensor(0.00047825),tensor(-0.00197585),tensor(-0.00107010),tensor(0.00117668),tensor(0.00064459),tensor(0.00019774),tensor(-0.00050334),tensor(-0.00862687)
29,tensor(0.00082594),tensor(0.00123111),tensor(-0.00102609),tensor(0.00049176),tensor(-0.00320104),tensor(-0.00390743),tensor(-0.00092182),tensor(-0.00161269),tensor(-0.00100135),tensor(0.00027697),tensor(0.00170710),tensor(-0.00068441),tensor(-0.00153946),tensor(-0.00094278),tensor(0.00124338),tensor(0.00136399),tensor(0.00025623)
30,tensor(-0.00034216),tensor(-0.00039935),tensor(0.00261386),tensor(-0.00110101),tensor(0.00330670),tensor(0.00317826),tensor(0.00116867),tensor(0.00180567),tensor(0.00087791),tensor(-0.00072578),tensor(-0.00180003),tensor(0.00212482),tensor(0.00137736),tensor(0.00091999),tensor(-0.00238288),tensor(-0.00292238),tensor(-9.02194079e-05)
31,tensor(0.00135754),tensor(0.00299675),tensor(0.00137214),tensor(0.00066029),tensor(0.00013613),tensor(0.00177544),tensor(-0.00083762),tensor(-0.00108941),tensor(-0.00061865),tensor(0.00086824),tensor(0.00183813),tensor(0.00165315),tensor(0.00201537),tensor(0.00153308),tensor(0.00103831),tensor(0.00100780),tensor(0.00245361)
32,tensor(0.00125023),tensor(0.00095385),tensor(0.00211129),tensor(-0.00080566),tensor(0.00082398),tensor(0.00147205),tensor(0.00020353),tensor(0.00021149),tensor(-3.33640492e-05),tensor(-0.00105354),tensor(-0.00197037),tensor(0.00278855),tensor(0.00435180),tensor(-0.00188656),tensor(-0.00209763),tensor(-0.00222225),tensor(-0.00465602)
