,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
27,tensor(0.00140207),tensor(0.00402869),tensor(0.00559396),tensor(0.00116732),tensor(0.00157103),tensor(0.00646462),tensor(0.00176569),tensor(-0.00201910),tensor(-0.00167826),tensor(-0.00140528),tensor(-0.00111641),tensor(-0.00023993),tensor(-0.00133700),tensor(0.00017177),tensor(-0.00044603),tensor(0.00088367),tensor(0.00553559)
28,tensor(-0.00073809),tensor(-0.00118657),tensor(0.00280326),tensor(-0.00045375),tensor(0.00032899),tensor(-0.00106898),tensor(-0.00197594),tensor(0.00159086),tensor(0.00130200),tensor(0.00047555),tensor(0.00085212),tensor(-0.00107010),tensor(0.00117673),tensor(0.00064451),tensor(0.00019785),tensor(-0.00050310),tensor(-0.00862646)
29,tensor(0.00082652),tensor(0.00123112),tensor(-0.00320114),tensor(0.00049097),tensor(-0.00102610),tensor(-0.00390747),tensor(0.00170807),tensor(-0.00161224),tensor(-0.00100092),tensor(0.00027664),tensor(-0.00092160),tensor(-0.00068368),tensor(-0.00153889),tensor(-0.00094314),tensor(0.00124157),tensor(0.00136228),tensor(0.00025320)
30,tensor(-0.00034167),tensor(-0.00040202),tensor(0.00331759),tensor(-0.00110060),tensor(0.00261328),tensor(0.00318363),tensor(-0.00180001),tensor(0.00180562),tensor(0.00087787),tensor(-0.00072593),tensor(0.00116871),tensor(0.00212682),tensor(0.00138578),tensor(0.00091984),tensor(-0.00238317),tensor(-0.00292263),tensor(-8.17719847e-05)
31,tensor(0.00135756),tensor(0.00299621),tensor(0.00013704),tensor(0.00066027),tensor(0.00137184),tensor(0.00177422),tensor(0.00183821),tensor(-0.00108928),tensor(-0.00061853),tensor(0.00086839),tensor(-0.00083757),tensor(0.00165322),tensor(0.00201517),tensor(0.00153300),tensor(0.00103840),tensor(0.00100809),tensor(0.00245381)
32,tensor(0.00124847),tensor(0.00095541),tensor(0.00082127),tensor(-0.00080348),tensor(0.00211265),tensor(0.00147112),tensor(-0.00197209),tensor(0.00021022),tensor(-3.53867254e-05),tensor(-0.00105453),tensor(0.00020299),tensor(0.00278691),tensor(0.00434981),tensor(-0.00188557),tensor(-0.00209300),tensor(-0.00221830),tensor(-0.00464996)
33,tensor(0.00121715),tensor(0.00370633),tensor(0.00404430),tensor(0.00127134),tensor(0.00134808),tensor(0.00497651),tensor(0.00158647),tensor(-0.00205106),tensor(-0.00169971),tensor(-0.00131235),tensor(-0.00115559),tensor(-0.00018381),tensor(-0.00221236),tensor(0.00137614),tensor(0.00138612),tensor(0.00163583),tensor(-0.00643827)
34,tensor(0.00014771),tensor(0.00084123),tensor(0.00454512),tensor(-0.00011250),tensor(0.00197917),tensor(0.00313915),tensor(-0.00181230),tensor(0.00110544),tensor(0.00114301),tensor(0.00098687),tensor(0.00041947),tensor(-0.00127738),tensor(0.00175356),tensor(-0.00167373),tensor(-0.00218198),tensor(-0.00153661),tensor(0.00309859)
35,tensor(0.00125181),tensor(0.00338168),tensor(0.00359881),tensor(0.00099614),tensor(0.00198690),tensor(0.00367228),tensor(6.96264542e-05),tensor(-0.00206329),tensor(-0.00164476),tensor(-0.00133154),tensor(-0.00104745),tensor(0.00082634),tensor(1.73597418e-05),tensor(0.00011924),tensor(0.00075285),tensor(0.00178345),tensor(0.01094355)
36,tensor(0.00055702),tensor(0.00162453),tensor(-0.00018917),tensor(-0.00043048),tensor(0.00192707),tensor(0.00045817),tensor(-0.00222298),tensor(0.00111857),tensor(0.00101537),tensor(0.00094927),tensor(0.00029360),tensor(-0.00027169),tensor(0.00176855),tensor(-0.00171391),tensor(-0.00156135),tensor(-0.00247465),tensor(-0.01785934)
37,tensor(0.00133354),tensor(0.00297775),tensor(0.00496989),tensor(0.00183812),tensor(0.00013542),tensor(0.00142270),tensor(0.00159444),tensor(-0.00219553),tensor(-0.00166180),tensor(-0.00122209),tensor(-0.00130666),tensor(0.00074458),tensor(-0.00160964),tensor(0.00134282),tensor(0.00160626),tensor(0.00321940),tensor(0.01443214)
38,tensor(-0.00020440),tensor(-0.00135630),tensor(-0.00060109),tensor(-0.00085099),tensor(-0.00096110),tensor(0.00121823),tensor(-0.00182031),tensor(0.00169726),tensor(0.00130614),tensor(0.00106292),tensor(0.00086183),tensor(-0.00109076),tensor(0.00210920),tensor(-0.00158701),tensor(-0.00128716),tensor(-0.00146794),tensor(-0.00300671)
39,tensor(0.00042835),tensor(0.00155060),tensor(-0.00105831),tensor(0.00016588),tensor(0.00159205),tensor(0.00049217),tensor(0.00162595),tensor(-0.00156175),tensor(-0.00140669),tensor(-0.00117128),tensor(-0.00068722),tensor(0.00051453),tensor(-0.00107758),tensor(0.00157508),tensor(0.00044942),tensor(-0.00089141),tensor(-0.01091291)
40,tensor(0.00050944),tensor(0.00116264),tensor(0.00281018),tensor(0.00023822),tensor(0.00112342),tensor(-0.00204793),tensor(-0.00195402),tensor(-0.00013731),tensor(-0.00023928),tensor(-0.00107486),tensor(-4.87780526e-05),tensor(-5.18422712e-05),tensor(0.00278623),tensor(-0.00204925),tensor(-0.00107893),tensor(0.00036900),tensor(0.00151564)
41,tensor(0.00080584),tensor(-0.00017157),tensor(0.00211156),tensor(0.00128681),tensor(-0.00075262),tensor(0.00151302),tensor(5.05097378e-05),tensor(-0.00181467),tensor(-0.00110719),tensor(0.00021322),tensor(-0.00097364),tensor(0.00144610),tensor(7.81021081e-05),tensor(-0.00211714),tensor(0.00221238),tensor(0.00354884),tensor(0.01518007)
42,tensor(0.00038064),tensor(0.00097862),tensor(0.00036807),tensor(-0.00040603),tensor(0.00119515),tensor(0.00118731),tensor(-0.00217907),tensor(0.00121849),tensor(0.00057873),tensor(-0.00066917),tensor(0.00039969),tensor(-0.00051270),tensor(0.00235996),tensor(0.00069777),tensor(-0.00200746),tensor(-0.00283614),tensor(-0.01712625)
43,tensor(0.00082640),tensor(0.00143575),tensor(0.00320145),tensor(0.00064035),tensor(0.00025327),tensor(0.00035540),tensor(0.00186031),tensor(-0.00165557),tensor(-0.00103639),tensor(0.00038064),tensor(-0.00073709),tensor(0.00216004),tensor(0.00030845),tensor(-0.00117187),tensor(0.00173523),tensor(0.00239712),tensor(0.01013592)
44,tensor(-0.00011237),tensor(-0.00151872),tensor(-0.00275585),tensor(-0.00047812),tensor(-0.00104024),tensor(-0.00074102),tensor(-0.00207605),tensor(0.00129824),tensor(0.00062836),tensor(-0.00065725),tensor(0.00050045),tensor(-0.00077968),tensor(0.00194190),tensor(0.00062907),tensor(-0.00213065),tensor(-0.00221952),tensor(-0.00719315)
